	funny	useful	review_id	text	business_id	ID_bus	stars	date	user_id	cool	total_sentiment	coffee&tea_sentiscore	coffee&tea_total_business_score
2098	0	0	jpVlAulY_RqJ1CUrA41PCw	best pizza best philly cheese steak this place just bomb	r5PLDU-4mSbde5XekTXSCA	r5PLDU-4mSbde5XekTXSCA	5	41911.967569444445	ljPAhsTWDBoK8ztPan5F2g	0	Sentiment(polarity=1.0, subjectivity=0.3)	0.0	0.0
1130	0	0	YcB9XblfZxq6QA8mqmpGLg	food drinks service wonderful phil brittany great steak with mike sauce wonderful margurita pizza best happy hour prices great	k57YAz2gkeXgAYij7JIxjw	k57YAz2gkeXgAYij7JIxjw	5	42474.075625	s4Ttq08cRIN2FkBoTOeLgg	0	Sentiment(polarity=0.8999999999999999, subjectivity=0.7999999999999999)	0.0	0.0
4169	0	0	xGJZwVrvP6bLtf4el1tq-g	best pizza phoenix steak perfectly cooked appetizers were delicious service great friendly staff they agreed change stuff food	PxTKXsdYqoFHWAG2amz0XQ	PxTKXsdYqoFHWAG2amz0XQ	5	43092.236759259256	B5NnHa6oPTG1_NGPHg5VFA	0	Sentiment(polarity=0.835, subjectivity=0.71)	0.0	0.0
4115	0	0	TBtQ3z1N_LAbrDpN54Qk0Q	take window acted like jerk being inconvenienced tempe there million pizza places where theyre happy have your business those places instead	dSEcQPPUlATxZf5pvN_t5Q	dSEcQPPUlATxZf5pvN_t5Q	1	42493.105358796296	cMsJQ8rA-s3JXKKHWU9rlA	0	Sentiment(polarity=0.8, subjectivity=1.0)	0.0	0.0
9610	66	13	6goX-TEEppS9gqNRGNogow	candy wunderbar chocolate mousse candy scared order pizza think great place stop coffee desert after movie	DN0b4Un8--Uf6SEWLeh0UA	DN0b4Un8--Uf6SEWLeh0UA	3	41630.75134259259	Gl9XFtwFgIifENxZKqRSfA	5	Sentiment(polarity=0.8, subjectivity=0.75)	0.0	0.00778642936596218
7975	0	1		great place style pizza slices slices soda steal	Sh-XzCG2pZ59g85kjROciw	Sh-XzCG2pZ59g85kjROciw	4	41495.9534375	00xJNsxnzrBNZUYZejJLTg	0	Sentiment(polarity=0.8, subjectivity=0.75)	0.0	0.0
172	3	4	LByut3jSNi0_JmzhJYjBbQ	great pizza great beer dont deceived coffee house look like almost	wHq1efQVz17338k_aUOX3w	wHq1efQVz17338k_aUOX3w	5	42082.082453703704	s5txUZuoj4gNHQ3UY9Dnrg	3	Sentiment(polarity=0.8, subjectivity=0.75)	0.0011123470522803114	0.013348164627363738
4181	0	0	pqRoVZAEEI8nOps0mEYbDg	eaten here many times always great pizza great cheese steaks excellent always order mine with provolone cheese because cheese happy eating	Hpi9raHlFm6prTSzFHTurg	Hpi9raHlFm6prTSzFHTurg	4	41800.093310185184	27fmp83ndupLWLEVS8dBSQ	0	Sentiment(polarity=0.78, subjectivity=0.8)	0.0	0.0
5420	0	1	G9L3IJbmc1iONx421c8yXA	always awesome meal popped tonight instead driving street greenway pizza glad stopped salsa fire that night	Ktia9NJfvxVxTLVcEnw9zQ	Ktia9NJfvxVxTLVcEnw9zQ	4	41401.20888888889		0	Sentiment(polarity=0.75, subjectivity=1.0)	0.0	0.0
5673	0	0	JezekE_QeP-YcleKkLY2Ng	love have been going here years excellent pizza coffee danishes list goes	7cK9uEV09iPmsTqOqmY3kQ	7cK9uEV09iPmsTqOqmY3kQ	5	43205.65981481481	oer1bMXbvxFZp0Ar1G1MdQ	0	Sentiment(polarity=0.75, subjectivity=0.8)	0.0011123470522803114	0.012235817575083427
